,precision,recall,f1-score,support,model
OTHER,0.6688,0.5375,0.596,13383.0,Crime Category
PROPERTY_CRIME,1.0,1.0,1.0,80384.0,Crime Category
SEXUAL_CRIME,0.7914,0.5473,0.6471,4694.0,Crime Category
VANDALISM,0.6789,0.786,0.7285,16646.0,Crime Category
VEHICLE_CRIME,0.9991,0.9907,0.9949,22430.0,Crime Category
VIOLENT_CRIME,0.9616,0.99,0.9756,55401.0,Crime Category
accuracy,0.9345,0.9345,0.9345,0.9345,Crime Category
macro avg,0.85,0.8086,0.8237,192938.0,Crime Category
weighted avg,0.9331,0.9345,0.9324,192938.0,Crime Category
SAFE,0.8413,0.9441,0.8897,85995.0,Binary Risk
DANGEROUS,0.9501,0.8568,0.9011,106943.0,Binary Risk
accuracy,0.8957,0.8957,0.8957,0.8957,Binary Risk
macro avg,0.8957,0.9004,0.8954,192938.0,Binary Risk
weighted avg,0.9016,0.8957,0.896,192938.0,Binary Risk
LOW,1.0,1.0,1.0,44586.0,Severity
MEDIUM,0.7051,0.8838,0.7844,41409.0,Severity
HIGH,0.8767,0.6898,0.7721,49577.0,Severity
CRITICAL,0.9988,1.0,0.9994,57366.0,Severity
accuracy,0.8954,0.8954,0.8954,0.8954,Severity
macro avg,0.8951,0.8934,0.889,192938.0,Severity
weighted avg,0.9047,0.8954,0.895,192938.0,Severity
